Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
SMAN 1 Kwadungan,92,103,NEGERI,NGAWI
SMK Nasional Nganjuk,83,104,SWASTA,NGANJUK
SMK PGRI LAWANG,89,104,SWASTA,MALANG
MA AL-HIDAYAH JAMBON,82,105,SWASTA,PONOROGO
SMKN SUMBER WRINGIN,89,105,NEGERI,BONDOWOSO
SMK KEPANJEN,92,105,SWASTA,MALANG
SMKN 4,92,105,NEGERI,PASURUAN
SMKN 7 MALANG,92,105,NEGERI,MALANG
SMAN 1 JIWAN,91,106,NEGERI,MADIUN
SMKN 1 Takeran,91,107,NEGERI,MAGETAN
SMK HIDAYATUL MUBTADIIN,82,108,SWASTA,MALANG
SMK MA'ARIF NU JATIREJO,85,109,SWASTA,MOJOKERTO 
SMK KARTIKA 2 SURABAYA,89,112,SWASTA,SURABAYA
SMA COKROAMINOTO MADIUN,82,114,SWASTA,MADIUN
SMK KARTINI SURABAYA,84,114,SWASTA,SURABAYA
SMK TRIYASA SURABAYA,85,114,SWASTA,SURABAYA
SMA ST BONAVENTURA,91,114,SWASTA,MADIUN
SMK NEGERI IHYA ULUMUDIN SINGOJURUH,94,115,NEGERI,BANYUWANGI
SMK (SMEA) MUHAMADIYAH PANEKAN,82,118,SWASTA,MAGETAN
SMK AL-AMNANIYAH KARANGJATI,86,119,SWASTA,NGAWI
SMAN 1 DOLOPO,91,119,NEGERI,MADIUN
SMK MUHAMMADIYAH 7 GONDANGLEGI,94,119,SWASTA,MALANG
SMK Mifathul Ulum Pagelaran,86,120,SWASTA,MALANG
SMKN 2 NGANJUK,93,120,NEGERI,NGANJUK
SMK JETIS 1,83,121,SWASTA,PONOROGO
SMA HUDAYA,83,122,SWASTA,PONOROGO
SMK PGRI 4 NGAWI,88,123,SWASTA,NGAWI
SMK TRISAKTI NGAWI,85,124,SWASTA,NGAWI
SMK PGRI SUMBERPUCUNG,89,124,SWASTA,MALANG
SMA MUHAMMADIYAH 2 GEGER,84,126,SWASTA,MADIUN
SMAN 1 PARANG,92,126,NEGERI,MAGETAN
SMK MUHAMMADIYAH 3 SINGOSARI,93,126,SWASTA,MALANG
SMK (STM) PSM 1 KAWEDANAN,84,127,SWASTA,MAGETAN
SMK Negeri Tapen,92,127,NEGERI,BONDOWOSO
SMK AL BASYARIYAH,84,128,SWASTA,MADIUN
SMK IPIEMS SURABAYA,93,129,SWASTA,SURABAYA
